,date,score,text,age,sex
0,2021-12-25,5,家族に頼まれてリピート購入。飲みやすいみたいです。,なし,なし
1,2021-12-25,4,この手の商品を数年間飲み続けています。ストックが減ってきたら購入という感じで、その時のお安いショップで買っています。目に見える効果は感じませんが、継続は力なりのつもりで続けてます。,50,男性
2,2021-12-24,5,効いてるかどうかわかりませんが続けて飲んでます。いつもここのです。,50,男性
3,2021-12-24,5,効果のほどは大きく実感はしていませんが、今後も続けていこうと思います。,なし,なし
4,2021-12-24,5,健康診断一か月前から飲みましたがコレステロール値が改善されました。 基本は食事、運動ですがこのサプリメントも飲みつつ健康維持に努めたいです。 今後も利用していきます。,なし,なし
5,2021-12-24,4,お試しで購入してみました。効果があるのかどうかの実感はわかりませんが、普段、魚類を食べる機会が少ないので、多少は栄養が摂取できていると思います。,なし,なし
6,2021-12-23,5,飲み続けていきます。効果わかりまでんがこれからも飲み続けていきます。,60,男性
7,2021-12-23,5,健康のために飲んでいます、いつもありがとあございます,なし,なし
8,2021-12-23,2,他のメーカーだとDHA○mgといった成分表示ですが、こちらの製品は｢DHA含有精製魚油○mg｣という表示なのが気になりました。DHAやEPA単体での成分を明記してほしいです。パッケージにもDHAやEPAの成分記載がないので、やはりリーズナブルなだけに含有量は少ないのかな？と思ってしまいました。,30,女性
9,2021-12-22,5,からだが楽になったような気がします。このまま継続します。,60,男性
10,2021-12-21,5,すぐに届いて良かったです。また機会がありましたら、宜しくお願いします。,40,男性
11,2021-12-19,3,医者の薬も飲んでますからよくわからないですが、飲み初めからは血液検査の数値が改善しました。とりあえず毎日続けてます。,50,男性
12,2021-12-17,5,リピーターです。これを飲み始めてからコレステロール値が下がりました。毎日欠かさず飲み続けています。,40,女性
13,2021-12-16,5,もう何年ものんでます。これからも毎日の習慣です。,60,女性
14,2021-12-16,3,手頃な値段で3ヶ月分もありいい商品だと思います,50,男性
15,2021-12-16,4,口コミがいいので試しに購入します！到着をお待ちしています！,50,女性
16,2021-12-15,4,リピート購入です。効果はいまいち分かりませんが、身体のために。質の良い商品が安く購入出来るので、助かります。,50,女性
17,2021-12-15,5,とてもお安く良い商品だと思います。健康に役立てられる商品で良かったです。,なし,なし
18,2021-12-14,4,朝起きてからの体調がいいので、続けて飲もうと思います。,60,女性
19,2021-12-14,5,無くなると買ってしまう・・・もうないと困る商品です！安く購入できて良かったです！,なし,なし
20,2021-12-14,5,リピートです。なんとなく以前より身体がクリアな感じがしてます。兄弟にもあげようとあえてこちらを複数購入しました。,なし,なし
21,2021-12-13,4,不足している要素の補充にと２回目の購入です。まだ効果は何とも言えませんが、飲み続けてみようと思います。臭い？や脂？は３か月目に入りましたが感じられません。発送が早くすぐに始められました。,50,男性
22,2021-12-13,5,ずーっとリピートしています。このサプリのおかげか、血液検査の度に、コレステロール値や血管年齢が素晴らしいと褒められます。ショップ様の対応も気持ちよく、迅速なので助かります。またリピートします。,40,女性
23,2021-12-12,4,久しぶりに購入です。ちょっとお魚で健康になってみようかと思ってます。,なし,なし
24,2021-12-12,5,飲み続けています。効果わかりまでんが、これからも飲み続けていきます。,60,男性
25,2021-12-12,5,にくがすきなのでなかなか魚を食べません。オメガ３を飲むと健康面で安心できます。,70,男性
26,2021-12-11,5,リピートです。前回購入させていただいた後、血液検査で中性脂肪の値が格段に下がっていたので、また購入させていただきました^ ^運動等すればいいのですが、ついこの商品に頼ってしまいます(笑)飲み続ける価値はあると思います！,50,女性
27,2021-12-11,4,他社の商品を購入してましたが、無くなったので此方の商品を購入してみましたが、価格は安いのですが品質は此からのお試しなのでまだわかりません。,60,男性
28,2021-12-09,5,脂っこい食事が多いので健康維持の為にと思いオメガ３初めての購入です。国産で安いのが決め手ですね！,50,男性
29,2021-12-09,3,同じくオーガランドのセサミンと1日おきに交替で食している。このペースが合っているようだ。,70,男性
30,2021-12-09,4,購入しました年齢と共に食べ物だけでは無理なので今回このサプリを試しに飲んで見ますまだ効果は出ませんが何となくいい感じがしてます,50,女性
31,2021-12-08,5,普段不足しやすい物が手軽に取れるので、飲みやすいし安心感で毎日頂いて居ます。,70,女性
32,2021-12-07,5,初めてオメガを購入しましたこれからの季節体調管理に役立てたいです。,40,男性
33,2021-12-07,5,オメガ３脂肪酸、今までに耳にした事は有るものです。気にしてはいなかったのですが、肝臓にとても良いものだと言う事を知り購入しました。,50,女性
34,2021-12-07,4,うっかりが増えてきたので、少しでもマシになって欲しくて購入してみました。効果があれば、続けたいと思います。,50,女性
35,2021-12-05,3,粒が小さく飲みやすい。効果はわかりませんが、安いし定期購入の縛りがないから試しやすかった。,50,女性
36,2021-12-04,4,体に良いのかなぁと思って、続けて飲んでいます。効果はよくわからないです。,50,女性
37,2021-12-02,5,"高齢者は認知症予防のためにもDHA,EPAを多く服用する方が良いと娘に言われてから、夫婦が継続して服用しています。二人共に今のところ脳は正常です。",70,男性
