,date,score,text,age,sex,url
0,2022-01-07,5,父が母に有名メーカーのサプリメントを飲ませていました。「サプリメントなんていう物は長期で飲まなきゃ効果がないし、こんな高い物飲まなくても、同じ成分の安価な物にしたら？」と、こちらを紹介しました。値段の差に父ビックリ！こちらにするそうです。,なし,なし,https://review.rakuten.co.jp/item/1/212142_10126692/1.1/sort6/
1,2022-01-07,4,3ヶ月飲んでいいのか悪いのかわかりません！もう少し飲んでみます。,50,男性,https://review.rakuten.co.jp/item/1/212142_10126692/1.1/sort6/
2,2022-01-06,5,青み魚を 食べる機会があまりないのでサプリで補っております。今のところ すこぶる元気です。,なし,なし,https://review.rakuten.co.jp/item/1/212142_10126692/1.1/sort6/
3,2022-01-06,5,お安いので何度か購入させていただきました。血液サラサラ効果を願ってますが(*´&#42163;`*)効果は、はっきりとはわかりません。でも続けて飲んでたら大丈夫な気がしてます。,50,女性,https://review.rakuten.co.jp/item/1/212142_10126692/1.1/sort6/
4,2022-01-05,4,比較的飲みやすく、匂いも気になりません。効果は使い始めたばかりで、わからないですが、暫く継続したいと思っています。,なし,なし,https://review.rakuten.co.jp/item/1/212142_10126692/1.1/sort6/
5,2022-01-05,5,欲しかった商品が、この品質と価格で大満足しています。,70,男性,https://review.rakuten.co.jp/item/1/212142_10126692/1.1/sort6/
6,2022-01-05,4,DHAは食品で取れないのでサプリ頼ります。飲みやすいです。,なし,なし,https://review.rakuten.co.jp/item/1/212142_10126692/1.1/sort6/
7,2022-01-05,5,今回は半年分として購入した物で、毎日飲んでいるので済みません。。。。。。。。。。。。。。。。。。。。,60,男性,https://review.rakuten.co.jp/item/1/212142_10126692/1.1/sort6/
8,2022-01-04,5,日頃の健康を意識して飲み続けています。これからも飲み続けたいです。,40,男性,https://review.rakuten.co.jp/item/1/212142_10126692/1.1/sort6/
9,2022-01-04,4,健康の為に購入しました。前から飲んでいて、割引があったので今回も購入しました。,40,女性,https://review.rakuten.co.jp/item/1/212142_10126692/1.1/sort6/
10,2022-01-03,4,飲んでいると、調子が良いので欠かせません。効いているかどうかはわかりませんが、私の場合は物忘れが減っているので効果があるように思っています。,50,女性,https://review.rakuten.co.jp/item/1/212142_10126692/1.1/sort6/
11,2022-01-02,5,お試しで購入しました。効果を期待します。,なし,なし,https://review.rakuten.co.jp/item/1/212142_10126692/1.1/sort6/
12,2022-01-02,4,自分の感覚ですが。続けていて良い感じです。,70,男性,https://review.rakuten.co.jp/item/1/212142_10126692/1.1/sort6/
13,2022-01-02,4,DHAを取りたくて購入。一日粒、飲みやすくていい。,なし,なし,https://review.rakuten.co.jp/item/1/212142_10126692/1.1/sort6/
14,2022-01-02,3,自分のミスですがdha.epa内容量がよく確かめてみると少ない。。妊活中の為、オメガ3摂取で妊娠率アップするようで買おうと思ってたのですが別の商品を改めて購入しました。もったいないのでコレは旦那にあげました。,なし,なし,https://review.rakuten.co.jp/item/1/212142_10126692/1.1/sort6/
15,2021-12-31,5,少し高めの血圧が、正常値になり、大変満足しております。,60,男性,https://review.rakuten.co.jp/item/1/212142_10126692/2.1/sort6/
16,2021-12-31,3,先日健康診断でLDLほんの少し低下したが、日々の運動を取り入れたため、サプリによる効果とは言えない。あくまでもサプリなので大した期待はしていなかったが。値段も安いしまぁこんなもんだろうという感じかな。,40,男性,https://review.rakuten.co.jp/item/1/212142_10126692/2.1/sort6/
17,2021-12-30,4,サプリメントですので明確な効果は実感できませんが、飲みやすいしリピート買いして毎日飲んでいます。,50,男性,https://review.rakuten.co.jp/item/1/212142_10126692/2.1/sort6/
18,2021-12-26,5,オメガ3が大切と言うことで長く続けています。臭みもなく飲みやすい粒です。,なし,なし,https://review.rakuten.co.jp/item/1/212142_10126692/2.1/sort6/
19,2021-12-25,5,家族に頼まれてリピート購入。飲みやすいみたいです。,なし,なし,https://review.rakuten.co.jp/item/1/212142_10126692/2.1/sort6/
20,2021-12-25,4,この手の商品を数年間飲み続けています。ストックが減ってきたら購入という感じで、その時のお安いショップで買っています。目に見える効果は感じませんが、継続は力なりのつもりで続けてます。,50,男性,https://review.rakuten.co.jp/item/1/212142_10126692/2.1/sort6/
21,2021-12-24,5,効いてるかどうかわかりませんが続けて飲んでます。いつもここのです。,50,男性,https://review.rakuten.co.jp/item/1/212142_10126692/2.1/sort6/
22,2021-12-24,5,効果のほどは大きく実感はしていませんが、今後も続けていこうと思います。,なし,なし,https://review.rakuten.co.jp/item/1/212142_10126692/2.1/sort6/
23,2021-12-24,5,健康診断一か月前から飲みましたがコレステロール値が改善されました。 基本は食事、運動ですがこのサプリメントも飲みつつ健康維持に努めたいです。 今後も利用していきます。,なし,なし,https://review.rakuten.co.jp/item/1/212142_10126692/2.1/sort6/
24,2021-12-24,4,お試しで購入してみました。効果があるのかどうかの実感はわかりませんが、普段、魚類を食べる機会が少ないので、多少は栄養が摂取できていると思います。,なし,なし,https://review.rakuten.co.jp/item/1/212142_10126692/2.1/sort6/
25,2021-12-23,5,飲み続けていきます。効果わかりまでんがこれからも飲み続けていきます。,60,男性,https://review.rakuten.co.jp/item/1/212142_10126692/2.1/sort6/
26,2021-12-23,5,健康のために飲んでいます、いつもありがとあございます,なし,なし,https://review.rakuten.co.jp/item/1/212142_10126692/2.1/sort6/
27,2021-12-23,2,他のメーカーだとDHA○mgといった成分表示ですが、こちらの製品は｢DHA含有精製魚油○mg｣という表示なのが気になりました。DHAやEPA単体での成分を明記してほしいです。パッケージにもDHAやEPAの成分記載がないので、やはりリーズナブルなだけに含有量は少ないのかな？と思ってしまいました。,30,女性,https://review.rakuten.co.jp/item/1/212142_10126692/2.1/sort6/
28,2021-12-22,5,からだが楽になったような気がします。このまま継続します。,60,男性,https://review.rakuten.co.jp/item/1/212142_10126692/2.1/sort6/
29,2021-12-21,5,すぐに届いて良かったです。また機会がありましたら、宜しくお願いします。,40,男性,https://review.rakuten.co.jp/item/1/212142_10126692/2.1/sort6/
30,2021-12-19,3,医者の薬も飲んでますからよくわからないですが、飲み初めからは血液検査の数値が改善しました。とりあえず毎日続けてます。,50,男性,https://review.rakuten.co.jp/item/1/212142_10126692/3.1/sort6/
31,2021-12-17,5,リピーターです。これを飲み始めてからコレステロール値が下がりました。毎日欠かさず飲み続けています。,40,女性,https://review.rakuten.co.jp/item/1/212142_10126692/3.1/sort6/
32,2021-12-16,5,もう何年ものんでます。これからも毎日の習慣です。,60,女性,https://review.rakuten.co.jp/item/1/212142_10126692/3.1/sort6/
33,2021-12-16,3,手頃な値段で3ヶ月分もありいい商品だと思います,50,男性,https://review.rakuten.co.jp/item/1/212142_10126692/3.1/sort6/
34,2021-12-16,4,口コミがいいので試しに購入します！到着をお待ちしています！,50,女性,https://review.rakuten.co.jp/item/1/212142_10126692/3.1/sort6/
35,2021-12-15,4,リピート購入です。効果はいまいち分かりませんが、身体のために。質の良い商品が安く購入出来るので、助かります。,50,女性,https://review.rakuten.co.jp/item/1/212142_10126692/3.1/sort6/
36,2021-12-15,5,とてもお安く良い商品だと思います。健康に役立てられる商品で良かったです。,なし,なし,https://review.rakuten.co.jp/item/1/212142_10126692/3.1/sort6/
